time,Volt,Volt2,Cai,CaSR,Nai,Ki,M,H,J,Xr1,Xr2,Xs,S,R,D,F,FCa,G,Itot
190,1.28809,-86.2,0.000290743,0.534234,11.5839,138.298,0.95,1.97626e-323,9.8737e-121,0.973843,0.0229087,0.139968,0.00999139,0.0511861,0.702317,0.255774,0.217596,6.51083e-07,0.27167
195,-0.118425,-86.2,0.000282473,0.537044,11.5834,138.298,0.97,1.97626e-323,4.87808e-122,0.973963,0.0242048,0.142333,0.0129067,0.0419475,0.662872,0.250203,0.217596,6.51083e-07,0.291403
200,-1.63285,-86.2,0.000274547,0.53978,11.5829,138.298,0.97,1.97626e-323,3.11694e-123,0.973943,0.0256749,0.144593,0.0169519,0.0339079,0.618049,0.245685,0.217596,6.51083e-07,0.315036
205,-3.27833,-86.2,0.000266933,0.542443,11.5823,138.298,0.94,1.97626e-323,2.57212e-124,0.97378,0.0273627,0.146744,0.0226861,0.0269912,0.56742,0.242176,0.217596,6.51083e-07,0.344093
210,-5.08673,-86.2,0.000259593,0.545031,11.5818,138.298,0.98,1.97626e-323,2.73967e-125,0.973466,0.0293303,0.148782,0.0310118,0.0211127,0.510689,0.23961,0.217596,6.51083e-07,0.380544
215,-7.10091,-86.2,0.000252486,0.547543,11.5813,138.298,0.94,1.97626e-323,3.76833e-126,0.972988,0.0316673,0.150706,0.0434038,0.0161856,0.447852,0.237903,0.217596,6.51083e-07,0.426795
220,-9.37651,-86.2,0.000245564,0.549979,11.5809,138.298,0.95,1.97626e-323,6.70199e-127,0.972324,0.0345049,0.152512,0.0622429,0.0121256,0.379481,0.236961,0.217596,6.51083e-07,0.485503
225,-11.9821,-86.2,0.000238772,0.552336,11.5804,138.298,0.95,1.97626e-323,1.54334e-127,0.971442,0.0380345,0.154193,0.0910954,0.00885233,0.307182,0.236691,0.217596,6.51083e-07,0.55905
230,-14.9953,-86.2,0.000232059,0.554614,11.58,138.297,0.94,1.97626e-323,4.60122e-128,0.970297,0.042535,0.155735,0.134201,0.00628605,0.234123,0.237008,0.217596,6.51083e-07,0.648515
235,-18.4935,-86.2,0.000225376,0.556808,11.5796,138.297,0.96,1.97626e-323,1.76855e-128,0.968831,0.0484058,0.157098,0.193509,0.00434208,0.165219,0.237844,0.217596,6.51083e-07,0.752517
240,-22.5412,-86.2,0.000218695,0.558917,11.5793,138.297,0.92,1.97626e-323,8.66205e-129,0.966978,0.0562075,0.158185,0.263249,0.00292546,0.106197,0.239156,0.217596,6.51083e-07,0.867697
245,-27.1893,-86.2,0.00021202,0.560937,11.579,138.297,0.97,1.97626e-323,5.28659e-129,0.964698,0.066727,0.158781,0.329771,0.00193179,0.0613462,0.240946,0.217596,6.51083e-07,0.993076
250,-32.5062,-86.2,0.000205377,0.562866,11.5788,138.296,0.85,1.97626e-323,3.88447e-129,0.96199,0.0811319,0.158431,0.382502,0.00125625,0.031493,0.243336,0.217596,6.51083e-07,1.13804
255,-38.5878,-86.2,0.000199825,0.564391,11.5786,138.296,0.88,1.97626e-323,3.28656e-129,0.958843,0.101351,0.156218,0.421241,0.000805809,0.0141481,0.246779,0.576326,0.451701,1.24294
260,-45.3508,-86.2,0.000200632,0.563902,11.5785,138.295,0.88,0.000707329,0.000162851,0.955071,0.129356,0.150467,0.452,0.000507769,0.00569134,0.252623,0.95116,0.923554,1.51608
